"種別","場所","内容","日付","受信日時","メール本文"
"発生","朝倉市","ニセ電話詐欺未遂","１月２３日午後０時ころ","2016-01-26 10:05:21","　１月２３日午後０時ころ、朝倉市居住の男性宅に息子を名乗る男が電話で「友人と会社を立ち上げるために株を購入したが、３００万円借金してしまった。返済するためにお金を貸してほしい。」等と言って、現金を騙し盗ろうとしたニセ電話詐欺未遂が発生しました。このような詐欺被害に遭わないために●犯人の嘘を見抜くため、家族間の「合言葉」を決めましょう。●在宅時でも留守番電話設定にしておきましょう。●お金を求める電話は必ず本人や親族に折り返し確認しましょう。

配信者：朝倉警察署
お問い合わせ・情報提供先
0946-22-0110
"
"発生","久留米市内","不審電話","１月２６日","2016-01-26 15:14:01","　１月２６日、久留米市内の複数の家に「県警捜査第二課のカミヤ」と名乗る者から電話があり「詐欺グループを捕まえた。」「犯人の一人が銀行員だったので、個人情報が漏れているかもしれない。」「預金は金融庁に預けた方がいい。」等を申し立てる不審電話が連続発生しています。●このような電話は全て詐欺です●安易に個人情報を教えないこと●周囲の人にも注意喚起をお願いします●電話で「お金」は、すぐ相談！

配信者：久留米警察署
お問い合わせ・情報提供先
0942-38-0110
"
"発生","大野城市錦町４丁目","わいせつ事案","１月２６日午後３時ころ","2016-01-26 19:26:34","１月２６日午後３時ころ、大野城市錦町４丁目で、女性が見知らぬ男から体を触られる事件が発生しました。犯人の男は、年齢２０歳代、身長１７０センチ位、黒色短髪、茶色のコート、茶色のリュック、白色マスクを着用していました。●防犯ブザーを活用する。●危険を感じたら大きな声で助けを求め、すぐに１１０番通報しましょう。

配信者：春日警察署
お問い合わせ・情報提供先
092-580-0110
"
"発生","田主丸町","警察官を名乗るニセ電話","１月２６日午後３時００分ころ","2016-01-27 15:37:19","　１月２６日午後３時００分ころ、田主丸町居住の高齢者方の固定電話に、警察官を名乗る男から、「詐欺グループを捕まえています。あなたの個人情報が漏れています。」などというニセ電話がかかっています。
　このような電話があった場合は、すぐに電話を切り、１１０番しましょう。
　電話でお金はすべて詐欺！すぐに相談１１０番！

配信者：うきは警察署
お問い合わせ・情報提供先
0943-76-5110
"
"発生","八幡東区","ニセ電話詐欺事件","１月２７日","2016-01-27 16:23:10","１月２７日、八幡東区の女性宅に、市役所の職員をかたる男から電話があり「医療費の払い戻しがあります。手続きを行うので今から指定するＡＴＭに行ってください。」などと誘われ、ＡＴＭで現金約５０万円を振り込み、だまし取られる詐欺事件が発生しました。●ＡＴＭを操作してお金が戻ってくることは絶対にありません。●身近なご高齢の方などに「詐欺に気をつけて」の呼びかけをお願いします。●電話でお金はすべて詐欺！すぐに相談１１０番！

配信者：八幡東警察署
お問い合わせ・情報提供先
093-662-0110
"
"発生","八幡東区荒手二丁目","公然わいせつ事案","１月２７日午後６時ころ","2016-01-28 08:16:49","１月２７日午後６時ころ、八幡東区荒手二丁目付近で、男が下校中の女子高生に対し下半身を見せるという事案が発生しました。犯人は２０歳から３０歳代の男、青緑色の長袖上衣、黒髪の短髪、眼鏡なしでした。●防犯ブザーを活用する等しましょう。●危険を感じたら大声を出すなどしましょ。

配信者：八幡東警察署
お問い合わせ・情報提供先
093-662-0110
"
"発生","朝倉市頓田","住居侵入事案","１月２７日午後８時ころ","2016-01-28 08:42:38","１月２７日午後８時ころ、朝倉市頓田の一軒家で女性が入浴中、男が敷地内に侵入するという事案が発生しました。●身に危険を感じたら、大きな声で助けを求め、すぐに１１０番通報しましょう。

配信者：朝倉警察署
お問い合わせ・情報提供先
0946-22-0110
"
"発生","春日市岡本７丁目","痴漢","１月２７日午後８時ころ","2016-01-28 08:44:45","１月２７日午後８時ころ、春日市岡本７丁目付近で、通行中の女性が、原付バイクに乗った男から体を触られる事件が発生しました。犯人は、白色原付バイクに乗車し、白色ヘルメットを着用しています。●深夜の一人歩きは避ける。●危険を感じたら大声を出す。●歩きながら携帯電話、イヤホン等を使用しない。●防犯ブザーを活用するなどしましょう。

配信者：春日警察署
お問い合わせ・情報提供先
092-580-0110
"
"発生","大牟田市大字吉野","大牟田市で猿が出没","１月２８日午後１時ころ","2016-01-28 13:13:25","　１月２８日午後１時ころ、大牟田市大字吉野付近において、猿が出没しました。●猿は体長約５０センチメートルの成獣です。●発見の際には近づいたり、挑発したりすると危険ですので、すぐ通報してください。

配信者：大牟田警察署
お問い合わせ・情報提供先
0944-43-0110
"
"発生","築上町","築上町で不審者","１月２８日午後７時４０分ころ","2016-01-29 08:24:56","１月２８日午後７時４０分ころ、築上町の路上で、女性が徒歩で通行中、不審な男から後をつけられ、肘付近を掴まれる事案が発生しました。●犯人は年齢４０歳から５０歳位、中肉、黒っぽい服装でした。●不審者、不審車両を目撃したときは即１１０番通報しましょう。●危険を感じたら大声を出す、または防犯ブザーを活用するようなどしましょう。

配信者：豊前警察署
お問い合わせ・情報提供先
0979-82-0110
"
"発生","大牟田市中友町","大牟田市で猿が出没","１月２９日午前８時２０分ころ","2016-01-29 08:41:05","　１月２９日午前８時２０分ころ、大牟田市中友町付近において、猿が出没しました。●猿は体長約５０センチメートルの成獣です。●発見の際には近づいたり、挑発したりすると危険ですので、すぐ通報してください。

配信者：大牟田警察署
お問い合わせ・情報提供先
0944-43-0110
"
