"種別","場所","内容","日付","受信日時","メール本文"
"発生","戸畑区金比羅町４番路上","戸畑区金比羅町の不審者情報","１月１日午前８時ころ","2019-01-01 12:35:01","　１月１日午前８時ころ、戸畑区金比羅町４番付近路上で、陰部を露出した男性が目撃されました。男性は６０歳くらいで黒色のフード付きコート、黒色のズボンを履いています。●身の危険を感じたら大声を出してすぐに逃げる。●防犯ブザーを活用する。●不審な男を見かけたらすぐに１１０番しましょう。

配信者：戸畑警察署
お問い合わせ・情報提供先
093-861-0110
"
"発生","小倉北区木町３丁目２番","声かけ事案","１月２日午後６時ころ","2019-01-02 19:30:01","１月２日午後６時ころ、小倉北区木町３丁目２番の路上で、女性が徒歩通行中、見知らぬ男から「ちょっとでいいけ、お尻触らせて」などと声をかけられる事案が発生しました。男は、年齢５０から６０歳位、坊主頭、白色ウインドブレーカー、黒色ズボンを着用し、自転車に乗車しています。●危険を感じたら大声を出し逃げましょう。●なるべく明るく人通りの多い道を通りましょう。●防犯ブザーを活用しましょう。

配信者：小倉北警察署
お問い合わせ・情報提供先
093-583-0110
"
"発生","大野城市下大利３丁目１番","つきまとい事案","１月２日午後１１時４０分ころ","2019-01-03 08:29:02","１月２日午後１１時４０分ころ、大野城市下大利３丁目１番付近で、通行中の女性が、見知らぬ男から後をつけられる事案が発生しました。男は、年齢不明、中肉、紺色系のパーカー、ジーパンを着用、ハンドバッグを所持しています。●危険を感じたら大声を出す。●歩きながら携帯電話、イヤホン等を使用しない。●防犯ブザーを活用するなどしましょう。

配信者：春日警察署
お問い合わせ・情報提供先
092-580-0110
"
"発生","大牟田市大字久福木","不審者事案","１月４日午後２時ころ","2019-01-04 18:06:01","１月４日午後２時ころ、大牟田市大字久福木の公園で、親子が遊んでいたところ、不審な男に後をつけられる事案が発生しました。男は、年齢３０歳代、身長１６５センチ位、中肉、黒髪で首までの長さ、白色パーカー、黒色長ズボン、白色スニーカーを着用しています。●不審者を見たら大声を出す。●見知らぬ人にはついていかない。●防犯ブザーを活用するなど、お子さんと話し合っておきましょう。

配信者：大牟田警察署
お問い合わせ・情報提供先
0944-43-0110
"
"発生","豊前市大字吉木","豊前市大字吉木周辺における不審者情報","１月５日午前０時３０分ころ","2019-01-05 08:50:02","１月５日午前０時３０分ころ、豊前市大字吉木において、見知らぬ男からガラス越しに家屋をのぞき込まれるという事案が発生しました。男は、青色上衣を着用しており、現場から車両で逃走しています。車両は、白色の普通乗用自動車です。●身の危険を感じたら、大きな声で助けを呼びましょう。●不審者を目撃した時は、すぐに１１０番通報しましょう。

配信者：豊前警察署
お問い合わせ・情報提供先
0979-82-0110
"
"発生","西区下山門","悪徳商法","１月４日午後０時４０分ころ","2019-01-05 09:09:01","１月４日午後０時４０分ころ、西区下山門付近の女性宅において、男性１名（年齢５０歳位、黒髪、細身、黒色上衣、黒色下衣）から、「火災報知器の点検をしている」等と言い、火災報知器を点検した後、高額な点検代を請求される事案が発生しました。●不審な訪問販売等があれば、すぐに警察に通報する。●直ぐに契約せず家族等に相談する等してください。

配信者：西警察署
お問い合わせ・情報提供先
092-805-6110
"
"発生","早良区南庄６丁目","公然わいせつ","１月５日午前０時ころ","2019-01-05 09:28:01","１月５日午前０時ころ、早良区南庄６丁目付近の駐車場で、男が通行中の女性に下半身を見せるという事案が発生しました。男は、年齢３０歳位、身長１６０～１７０ｃｍ位、小太り、ボサボサ頭で、黒縁メガネ、白色Tシャツを着用していました。●不審者を見たら、すぐに１１０番通報しましょう。●危険を感じたら大声を出して助けを求めましょう。●防犯ブザーを活用しましょう。

配信者：早良警察署
お問い合わせ・情報提供先
092-847-0110
"
"発生","城南区茶山２丁目","公然わいせつ","１月５日午前８時４０分ころ","2019-01-05 10:00:01","　１月５日午前８時４０分ころ、城南区茶山２丁目付近で、男がズボンを下げて通行中の女性に下半身を見せるという事案が発生しました。男は、年齢５０～６０歳位、髪型は七三分け、メガネ、ブルゾンとスウェット風のズボンを着用していました。
●不審者を見たら、すぐに１１０番通報しましょう。●危険を感じたら大声を出し助けを求めましょう。●防犯ブザーを活用しましょう。

配信者：早良警察署
お問い合わせ・情報提供先
092-847-0110
"
"発生","行橋市大橋２丁目","公然わいせつ事案","１月４日午後４時ころ","2019-01-05 10:01:01","１月４日午後４時ころ、行橋市大橋２丁目の路上を女性が徒歩で帰宅中、自転車に乗車した男が陰部を露出する事案が発生しました。男は４０～５０歳代、身長１７０センチ位、やせ型、黒色ジャージ上下、黒色野球帽を着用し、スポーツタイプの自転車に乗車していました。●不審者を見たら大声を出す●すぐに逃げる●防犯ブザー、福岡県警察防犯アプリ「みまもっち」を活用する等しましょう。

配信者：行橋警察署
お問い合わせ・情報提供先
0930-24-5110
"
"発生","八幡西区紅梅","公然わいせつ事案","１月６日午前９時２０分ころ","2019-01-06 13:14:01","　１月６日午前９時２０分ころ、八幡西区紅梅付近において、男が下半身を見せる事案が発生しました。犯人は、年齢４０歳くらい、身長１７０センチメートルくらい、やせ型、黒色ジャケット、黒縁メガネを着用の男です。●不審者を見たら大声を出して周囲に助けを求める。●すぐに１１０番通報する。●防犯ブザーを活用するなどしましょう。

配信者：八幡西警察署
お問い合わせ・情報提供先
093-645-0110
"
