"種別","場所","内容","日付","受信日時","メール本文"
"発生","直方市","ニセ電話詐欺事件","平成２６年７月上旬ころ","2014-09-29 19:26:38","平成２６年７月上旬ころ、直方市の女性宅に警察官や銀行員を名乗る男から「銀行のコンピュータがウィルスに感染して遠隔操作された」「あなたもターゲットになっている」「お金を下ろして郵便局に送ってくれ」等と電話があり、５回に亘り合計２，８００万円をだまし取られるニセ電話詐欺事件が発生しています。●このような電話はすべてニセ電話詐欺です。すぐに１１０番通報してください。

配信者：福岡県警察本部生活安全総務課
お問い合わせ・情報提供先
092-641-4141
"
"発生","小倉南区","ニセ電話詐欺未遂","平成２６年９月２５日","2014-09-30 15:28:34","平成２６年９月２５日、北九州市小倉南区の女性に男から「あなたの名前が株購入者名簿に載っている」「２００万円支払えば名簿から名前を消すことができる」「現金をゆうパックで送れ」等と電話があり、２００万円をだまし取られそうになる事件が発生しています。●このような電話はすべて詐欺です。すぐに１１０番通報してください。

配信者：福岡県警察本部生活安全総務課
お問い合わせ・情報提供先
092-641-4141
"
"発生","城南区別府３丁目路上","声かけ事案","９月３０日午後４時ころ","2014-09-30 18:34:42","９月３０日午後４時ころ、城南区別府３丁目付近路上で、女児が３０歳くらいの男から「一緒に帰ろう」と声を掛けられ、その後、つきまとわれる事案が発生しました。●危険を感じたら、大声を出しましょう。●防犯ブザーを活用しましょう。

配信者：早良警察署
お問い合わせ・情報提供先
092-847-0110
"
"発生","西区橋本１丁目","公然わいせつ事案","１０月１日午後８時ころ","2014-10-02 09:02:46","１０月１日午後８時ころ、西区橋本１丁目付近で自転車に乗った男が、通行中の女性に近づき下半身を見せて逃走するという事案が発生しました。犯人の男は黒色のTシャツ、ベージュ色のズボンを着用していました。●危険を感じたら大声を出す。●防犯ブザーを活用するなどしましょう。●目撃情報等あれば通報をお願いします。

配信者：西警察署
お問い合わせ・情報提供先
092-805-6110
"
"発生","南区平和２丁目","痴漢事案","１０月１日午前２時ころ","2014-10-02 09:23:24","　１０月１日午前２時ころ、南区平和２丁目付近で、男が女性の身体を触って逃げるという事案が発生しました。犯人は、年齢２０歳位、身長１６０センチメートル位、黒色短髪、赤色半袖シャツ、赤色ハーフパンツを着用した男でした。●夜間はなるべく明るく人通りの多い道を選んで通る。●不審者を見て危険を感じたら大声を出したり防犯ブザーを活用したりして逃げる。●犯人の特徴を出来るだけ思い出し、すぐに１１０番通報して下さい。

配信者：南警察署
お問い合わせ・情報提供先
092-542-0110
"
"発生","中央区薬院３丁目","公然わいせつ","１０月２日午前３時ころ","2014-10-02 09:48:12","１０月２日午前３時ころ、中央区薬院３丁目の路上で、徒歩通行中の女性に男が「こんばんは、何をしているんですか」と声をかけ、下半身を露出するという事案が発生しました。●犯人は、年齢２０歳代、身長１７０センチくらい、上下灰色のスウェットを着用していました。●危険を感じたら大声を出す。●防犯ブザーを活用するなどしましょう。

配信者：中央警察署
お問い合わせ・情報提供先
092-734-0110
"
"発生","城南区七隈７丁目路上","公然わいせつ事案","平成２６年１０月２日午後８時ころ","2014-10-03 08:13:26","平成２６年１０月２日午後８時ころ、城南区七隈７丁目付近路上で、男が下半身を露出する事案が発生しました。男は、年齢３０歳位、黒色長髪真ん中分け、中肉、灰色Ｔシャツ、ベージュ色ズボンを着用していました。●危険を感じたら大声を出しましょう●防犯ブザーを活用しましょう

配信者：早良警察署
お問い合わせ・情報提供先
092-847-0110
"
"発生","東区松島１丁目","わいせつ事案","１０月２日午後１１時ころ","2014-10-03 10:01:13","　１０月２日午後１１時ころ、東区松島１丁目で、徒歩帰宅中の女性が男から体を触られる事件が発生しました。犯人は、年齢３０歳位、身長１６５センチ位、中肉、白色Ｔシャツ、水色ジーンズ、色不明スニーカーを着用しています。●深夜の一人歩きは避ける。●危険を感じたら大声を出す。●防犯ブザーを活用するなどしましょう。

配信者：東警察署
お問い合わせ・情報提供先
092-643-0110
"
"発生","東区郷口町","公然わいせつ","１０月３日午後３時ころ","2014-10-04 08:27:59","１０月３日午後３時ころ、東区郷口町付近で小学生女児に対し男が陰部を露出する事件が発生しました。犯人は２０歳前後位、中肉、黒色短髪の男で黒色Ｔシャツ、灰色長ズボンを着用しています。●防犯ブザーを活用する。●時々後ろを振り返って、警戒していることをアピールするなどしましょう。

配信者：東警察署
お問い合わせ・情報提供先
092-643-0110
"
"発生","福岡市中央区や東区","不審な電話","本日","2014-10-06 19:12:33","本日、福岡市中央区や東区で区役所職員等を名乗る男から「保険料の払い戻しがあります」「ＡＴＭに行ってください」等という不審な電話が計４件発生しています。●このような電話はすべてニセ電話詐欺です。すぐに１１０番通報してください。

配信者：福岡県警察本部生活安全総務課
お問い合わせ・情報提供先
092-641-4141
"
"発生","中央区六本松二丁目","不審者の目撃情報について","１０月６日午後４時ころ","2014-10-06 19:22:24","　１０月６日午後４時ころ、中央区六本松二丁目の路上で、通行中の小学生女児が、右手にカッターナイフの様な物を所持して歩いている男を目撃しています。
　男は年齢７０歳位、中肉、白髪頭、茶色ジャンパー、茶色シャツ、灰色ズボン、白色スニーカーを着用し、ストラップ付きのメガネを首から掛けています。
　目撃情報等あれば情報提供をお願いします。

配信者：中央警察署
お問い合わせ・情報提供先
092-734-0110
"
