"種別","場所","内容","日付","受信日時","メール本文"
"発生","筑紫野市美しが丘南１丁目","つきまとい事案","１２月３１日午後６時ころ","2017-01-01 08:19:01","１２月３１日午後６時ころ、筑紫野市美しが丘南１丁目付近で、散歩中の女性が見知らぬ男からつきまとわれる事案が発生しました。男は身長１７０センチメートル位、黒っぽい服装を着用しています。●危険を感じたら大声を出す。●防犯ブザーを活用するなどしましょう。

配信者：筑紫野警察署
お問い合わせ・情報提供先
092-929-0110
"
"発生","JR鹿児島本線","わいせつ事案","１月２日午後９時５０分ころ","2017-01-03 08:31:01","１月２日午後９時５０分ころ、JR鹿児島本線の列車内及び福間駅構内で、帰宅中の女性が男から体を触られる事件が発生しました。犯人は、年齢４０～５０歳代くらい、身長１７０センチくらい、茶髪の長髪、黒色ジャケット、紺色ジーンズ、縁なしメガネ着用、茶色革製ショルダーバッグ所持。●危険を感じたら大声を出し１１０番通報しましょう。●防犯ブザーを携帯しましょう。

配信者：粕屋警察署
お問い合わせ・情報提供先
092-939-0110
"
"発生","大野城市曙町","つきまとい事案","１月３日午後４時３０分ころ","2017-01-04 08:09:01","１月３日午後４時３０分ころ、大野城市曙町で、通行中の女性が不審な車からつきまとわれる事案が発生しました。車は、黒色のセダンタイプの車です。●夕暮れ時など、暗くなってからの一人歩きは避ける。●危険を感じたら大声を出す。●防犯ブザーを活用するなどしましょう。

配信者：春日警察署
お問い合わせ・情報提供先
092-580-0110
"
"発生","八幡東区上本町二丁目","暴行事件","１月３日午後１１時ころ","2017-01-04 10:11:01","１月３日午後１１時ころ、八幡東区上本町二丁目付近で、通行中の女性が男から抱きつかれる事件が発生しました。犯人は、身長１６０センチくらい、中肉、白系のパーカー、色不明のズボンを着用した男でした。●携帯電話やヘッドフォンステレオなどを使いながら歩かない。●危険を感じたら大声を出す。●防犯ブザーを活用するなどしましょう。

配信者：八幡東警察署
お問い合わせ・情報提供先
093-662-0110
"
"発生","豊前市赤熊","声掛け事案解決","平成２８年１２月２７日","2017-01-04 15:24:01","　平成２８年１２月２７日にお知らせしました、豊前市赤熊での児童に対する声掛け事案については、解決しました。ご協力ありがとうございました。

配信者：豊前警察署
お問い合わせ・情報提供先
0979-82-0110
"
"発生","久留米市新合川","痴漢","１月４日午後８時ころ","2017-01-05 08:44:01","１月４日午後８時ころ、久留米市新合川付近のバス停で、座ってバスを待っていた女子学生が、後方から接近してきた男から、身体を触られる事案が発生しました。犯人は、年齢２０歳くらい、長めの黒髪で、眼鏡を着用しています。●深夜の一人歩きは避ける。●被害に遭ったら大声を出して、周囲に助けを求め、１１０番通報する。●ときどき後ろを振り返るなどして、警戒していることをアピールする。●防犯ブザー等を活用するなどしましょう。

配信者：久留米警察署
お問い合わせ・情報提供先
0942-38-0110
"
"発生","大野城市上大利２丁目","声かけ事案","１月５日午後６時ころ","2017-01-06 08:20:01","　１月５日午後６時ころ、大野城市上大利２丁目付近の路上で、帰宅中の女子中学生が、見知らぬ男から「援交しない」と声をかけられる事案が発生しました。犯人は、年齢３０～４０歳位、痩せ型、身長１７０センチ位、耳にかかるくらいの短髪、黒か灰色帽子、マスク、黒色ジャンパー、黒色ジャージズボン、黒色靴を着用しています。●見知らぬ人にはついていかない。●危険を感じたら大声を出す。●防犯ブザーを活用するなどしましょう。

配信者：春日警察署
お問い合わせ・情報提供先
092-580-0110
"
"発生","博多区那珂３丁目","ひったくり","１月６日午後８時ころ","2017-01-07 08:34:01","１月６日午後８時ころ、博多区那珂３丁目で、徒歩で通行中の男性が後方から接近してきた男に持っていた長財布をひったくられる事案が発生しました。犯人の男は、一見若い感じ、身長１７０センチから１７５センチくらい、黒っぽい上下服、黒色フルフェイス、黒っぽいスクーターに乗車していました。被害に遭わないためにも、●人通りの少ない道は避ける。●後方にも気を配る。●バッグ等は車道と反対側に持つなどしましょう。


配信者：博多警察署
お問い合わせ・情報提供先
092-412-0110
"
"発生","筑後市大字和泉","筑後市で不審者の出没","1月6日午後9時ころ","2017-01-07 09:13:01","1月6日午後9時ころ、筑後市大字和泉の路上で、帰宅中の女性が男から声をかけられる事案が発生しました。男は年齢40から50歳位、身長170センチ位、黒髪、上下白っぽい作業服でした。●人通りが少ないところはなるべく避ける●危険を感じたら大声を出す●不審者がいたらすぐ110番通報してください。

配信者：筑後警察署
お問い合わせ・情報提供先
0942-52-0110
"
"発生","東区原田","痴漢事案","１月７日午後０時３０分ころ","2017-01-08 09:03:01","１月７日午後０時３０分ころ、東区原田の路上で、徒歩通行中の女性が、前方から近付いてきた男から下半身を押し付けられる事案が発生しました。犯人は、年齢３０代後半、身長１７０センチ位、白色ダウンジャケット、黒縁メガネを着用しています。●危険を感じたら大声を出す。●防犯ブザーを活用するなどしましょう。

配信者：東警察署
お問い合わせ・情報提供先
092-643-0110
"
