"種別","場所","内容","日付","受信日時","メール本文"
"発生","みやま市高田町、山川町","車上ねらい","１２月３１日から１月１日","2018-01-01 16:45:01","　１２月３１日から１月１日にかけて、みやま市高田町、山川町において、車上ねらいが連続して発生しています。犯人は、窓ガラスを割るなどして車内を物色しています。●車を離れる時は、短時間でもドアをロックし、手荷物などを車内に残さないようにしましょう。●施錠だけでなく、複数の防犯対策（警報装置など）を行いましょう。

配信者：柳川警察署
お問い合わせ・情報提供先
0944-74-0110
"
"発生","南区大楠３丁目","公然わいせつ事案","平成３０年１月１日午後９時ころ","2018-01-02 08:40:01","　平成３０年１月１日午後９時ころ、南区大楠３丁目付近で、全裸の男が徒歩帰宅中の女性の前に現れる事案が発生しました。男は、年齢不明、黒髪短髪、あごひげ、小太りで、女性とすれ違った後、走って逃走しています。●不審者を見たら大声を出して逃げる。●防犯ブザーを活用する。●犯人の特徴をできるだけ覚えて、すぐに１１０番通報をお願いします。

配信者：南警察署
お問い合わせ・情報提供先
092-542-0110
"
"発生","岡垣町","強盗未遂事件被疑者の逮捕について","平成２９年１１月１９日午前３時頃","2018-01-02 08:49:01","平成２９年１１月１９日午前３時頃に岡垣町のコンビニエンスストアにおいて発生した強盗未遂事件については、４０歳男性を逮捕しました。情報提供等ご協力ありがとうございました。

配信者：折尾警察署
お問い合わせ・情報提供先
093-691-0110
"
"発生","那珂川町片縄８丁目","ひったくり","１月２日午後３時ころ","2018-01-02 20:08:02","１月２日午後３時ころ、那珂川町片縄８丁目付近で、徒歩通行中の男性が、後方から近づいてきた原付バイクに乗車した犯人から財布をひったくられる事件が発生しました。犯人は、小太り、黒色のジャージ上下を着た男１名で、黒色のフルフェイスヘルメットを着用しています。被害に遭わないためにも、●バッグは車道側と反対の方に持つ。●携帯電話を使用しながら歩かない。●時々振り返るなど後方にも気を配りましょう。

配信者：春日警察署
お問い合わせ・情報提供先
092-580-0110
"
"発生","南区桧原７丁目","ひったくり","１月２日午後３時ころ","2018-01-03 13:11:01","１月２日午後３時ころ、南区桧原７丁目で、徒歩進行中の男性が、ズボンの後ろポケットに入れていた財布をひったくられる事件が発生しました。犯人は、黒色原付バイクに乗った男１名で、白色ヘルメットを着用しています。被害に遭わないためにも、●財布を人目につくようなところに入れない。●バッグは車道側と反対の方に持つ。●携帯電話を使用しながら歩かない。●時々振り返るなど後方にも気を配りましょう。

配信者：南警察署
お問い合わせ・情報提供先
092-542-0110
"
"発生","中央区今泉２丁目及び警固３丁目","ひったくり","１月３日午前８時ころ","2018-01-03 13:26:01","１月３日午前８時ころ、中央区今泉２丁目及び警固３丁目の路上で、連続して自転車で通行中の男性が、後方から追い越しざまにズボンの後ろポケットに入れていた財布をひったくられる事件がそれぞれ発生しました。犯人は、スクータータイプの原付バイクに乗車し、黒色系フルフェイスヘルメットを着用していました。●財布は人目につかないように持ち歩く。●道路側にバッグ等を所持しない。●歩きスマホなど、ながら歩きはしない。●時々振り返るなど、周囲に気を配りましょう。

配信者：中央警察署
お問い合わせ・情報提供先
092-734-0110
"
"発生","城南区神松寺１丁目","ひったくり","１月３日午後０時ころ","2018-01-03 17:15:02","１月３日午後０時ころ、城南区神松寺１丁目付近の路上で、自転車で通行中の男性が、後方から追い越しざまにズボンの後ろポケットに入れていた財布をひったくられる事件が発生しました。犯人は、黒色のスクータータイプの原付バイクに乗車した男１名で、黒色のダウンジャケット、黒色のフルフェイスのヘルメットを着用していました。●財布は人目に付かないように持ち歩きましょう。●貴重品等が入ったバッグ等を道路側に所持しないようにしましょう。●時々振り返るなど、周囲に気を配りましょう。

配信者：早良警察署
お問い合わせ・情報提供先
092-847-0110
"
"発生","小郡市希みが丘５丁目","公然わいせつ","平成30年1月4日午後0時20分ころ","2018-01-04 16:19:01","平成30年1月4日午後0時20分ころ、小郡市希みが丘５丁目において、見知らぬ男が植え込みの中から下半身を露出するという事案が発生しました。犯人は、年齢不詳、身長160センチメートル位、紺色長袖パーカー、紺色ジャージズボン、色不明の帽子を着用した男で、腰を曲げて、前傾姿勢で歩く癖があり、現場から歩いて立ち去っています。●身の危険を感じたら、大きな声で助けを求め、すぐに110番通報しましょう。●防犯ブザーを活用しましょう。●時々後ろを振り返り、周囲を警戒しましょう。

配信者：小郡警察署
お問い合わせ・情報提供先
0942-73-0110
"
"検挙","南区大楠３丁目","公然わいせつ被疑者","１月４日","2018-01-05 15:24:01","　１月４日に南区大楠３丁目で発生した公然わいせつ事案について、３１歳の男を検挙しました。情報の提供やパトロールなど、ご協力ありがとうございました。今後も速やかな通報をお願いします。

配信者：南警察署
お問い合わせ・情報提供先
092-542-0110
"
"発生","中央区大宮１丁目","公然わいせつ事案","1月５日午後１０時ころ","2018-01-06 12:37:02","　1月５日午後１０時ころ、中央区大宮１丁目付近の路上で、通行人に男が下半身を見せるという事案が発生しました。犯人は、身長１７０センチくらい、中肉の男です。●不審者を見たら大声を出す。●防犯ブザーを活用するなどしましょう。

配信者：中央警察署
お問い合わせ・情報提供先
092-734-0110
"
"発生","春日市原町３丁目","公然わいせつ事案","１月７日午後１時ころ","2018-01-07 17:06:02","１月７日午後１時ころ、春日市原町３丁目付近で、下半身を露出している男性が目撃されました。犯人は、年齢５０から６０歳位、身長１６０センチ位、中肉、上衣オレンジ色ジャンパー、下衣紺色ジーパン、メガネを着用した白髪短髪の男になります。●不審者を見たら大声を出す。●歩きながら携帯電話、イヤホンなどを使用しない。●防犯ブザーを活用するなどしましょう。

配信者：春日警察署
お問い合わせ・情報提供先
092-580-0110
"
"発生","古賀市薬王寺","公然わいせつ事案","１月７日午前９時３０分ころ","2018-01-07 19:01:01","　１月７日午前９時３０分ころ、古賀市薬王寺の路上において、車に乗った男が帰宅中の女子学生に、下半身を見せるという事案が発生しました。犯人は、年齢３０～４０歳代、黒っぽいジャンパー着用、白色の軽自動車に乗っています。●不審者を見たら大声を出す。●防犯ブザーを活用するなどしましょう。●身の安全を確保した後、直ちに１１０番通報をお願いします。

配信者：粕屋警察署
お問い合わせ・情報提供先
092-939-0110
"
