"種別","場所","内容","日付","受信日時","メール本文"
"発生","南区大楠３丁目１４番","下着泥棒事案","１２月３１日午後８時ころから１月１日午前２時ころの間で","2020-01-01 09:07:01","　１２月３１日午後８時ころから１月１日午前２時ころの間で、南区大楠３丁目１４番付近のマンションで、ベランダに設置していた洗濯機の中に入れていた女性用下着数枚を盗まれる事案が発生しました。犯人の目撃はありません。●不審者を見たら大声を出す。●防犯ブザーを活用する。●外出時に限らず、在宅時も確実に鍵をかけるなど防犯に努めましょう。

配信者：南警察署
お問い合わせ・情報提供先
092-542-0110
"
"発生","南区大楠１丁目１４番","住居侵入未遂事案","１２月３１日午後８時ころ","2020-01-01 09:22:01","　１２月３１日午後８時ころ、南区大楠１丁目１４番のマンションで、ベランダから部屋に侵入されそうになった事案が発生しました。犯人は住人から気付かれ、逃走しています。●外出時に限らず、在宅時も確実に鍵をかけるなど防犯に努めましょう。

配信者：南警察署
お問い合わせ・情報提供先
092-542-0110
"
"発生","早良区飯倉２丁目","ひったくり","令和２年１月２日午後７時３０分ころ","2020-01-03 09:27:01","令和２年１月２日午後７時３０分ころ、早良区飯倉２丁目付近の道路上で徒歩通行中の女性が後方から接近してきた犯人に手提げバッグをひったくられる事案が発生しました。犯人は男性で、色不明の上衣、黒色ズボンを着用し、軽快自転車に乗車していました。●バッグは車道と反対側に持つ。●携帯電話やイヤホンを使用しながら移動しない。●時々後ろを振り返るなど後方にも気を配りましょう。

配信者：早良警察署
お問い合わせ・情報提供先
092-847-0110
"
"発生","大牟田市大字久福木","盗撮事件","１月３日午後７時ころ","2020-01-03 20:00:01","１月３日午後７時ころ、大牟田市大字久福木の住宅で、女性が入浴中に犯人から浴室内を携帯電話で盗撮される事件が発生しました。●身に危険を感じたら、大きな声で助けを求め、すぐに１１０番通報しましょう。

配信者：大牟田警察署
お問い合わせ・情報提供先
0944-43-0110
"
"発生","西区下山門団地","声かけ事案","１月３日午後１０時１０分ころ","2020-01-04 08:12:01","１月３日午後１０時１０分ころ、福岡市西区下山門団地で、帰宅中の女子大学生が、見知らぬ男から「お金やるから話しを聞いてくれ」と声をかけられる事案が発生しました。男は年齢７０歳から８０歳くらい、身長１６０センチくらい、中肉、紺色系統野球帽、白髪長髪、緑色系統ジャケット、色不明ズボンを着用しています。●不審者を見たら大声を出す。●防犯ブザーを活用し周囲に危険を知らせ、すぐに１１０番通報をしましょう。

配信者：西警察署
お問い合わせ・情報提供先
092-805-6110
"
"発生","飯塚市天道","公然わいせつ事案","１月３日午後９時ころ","2020-01-04 10:04:01","　１月３日午後９時ころ、飯塚市天道の道路上で、男が通行中の女性に下半身を見せるという事案が発生しました。犯人は、年齢４０歳位の男、身長１７０センチメートル位、体格普通、黒色上着、黒色ズボンを着用していました。●危険を感じたら大声を出す。●防犯ブザーを活用するなどしましょう。



配信者：飯塚警察署
お問い合わせ・情報提供先
0948-21-0110
"
"発生","行橋市大橋三丁目","公然わいせつ事案","１月４日午後０時ころ","2020-01-05 08:17:01","　１月４日午後０時ころ、行橋市大橋三丁目において女性が徒歩で移動中、男が自転車に座った状態で停車し、陰部を露出する事案が発生しました。男は、５０～６０歳代、小太り、黒色ジャンパー、色不明のジーパンを着用し、黒っぽい色の軽快自転車に乗車していました。●不審者を見たら大声を出す●すぐ逃げる●防犯ブザー、福岡県警察防犯アプリ「みまもっち」を活用する等しましょう

配信者：行橋警察署
お問い合わせ・情報提供先
0930-24-5110
"
"発生","八幡西区山寺町","強盗未遂事件","１月４日午後７時ころ","2020-01-05 09:23:02","１月４日午後７時ころ、北九州市八幡西区山寺町付近の施設で、男性が脅されて、現金を奪われそうになる強盗未遂事件が発生しました。犯人は、身長１７０センチ位、年齢３０歳くらい、やせ型の男で、黒っぽい上衣を着用し、刃物ようの物を所持しています。目撃情報等あれば情報提供をお願いします。●防犯ブザーを活用する。●深夜の一人歩きは避ける。●身に危険を感じたら、大きな声で助けを求めるなどしましょう。

配信者：八幡西警察署
お問い合わせ・情報提供先
093-645-0110
"
"発生","春日市上白水６丁目","ひったくり未遂","１月５日午後７時３０分ころ","2020-01-06 09:01:02","１月５日午後７時３０分ころ、春日市上白水６丁目の道路上で、自転車で帰宅中の女性が手提げバックをひったくられそうになる事件が発生しました。犯人は色不明の原付バイクに乗っており、黒色系のジャンパー、明るい色のヘルメットを着用しています。被害に遭わないためにも、●バッグは車道と反対の方に持つ。●携帯電話を使用しながら歩かない。●時々振り返るなど後方にも気を配りましょう。

配信者：春日警察署
お問い合わせ・情報提供先
092-580-0110
"
"発生","南区老司２丁目６番","ひったくり","令和２年１月５日午後８時ころ","2020-01-06 09:39:01","　令和２年１月５日午後８時ころ、南区老司２丁目６番付近の路上で、自転車で帰宅中の女性が原付バイクに乗車した男からバッグをひったくられる事案が発生しました。犯人は、年齢２０～３０歳くらい、黒色ダウンジャケット、黒色キャップ型ヘルメットを着用しています。●財布を人目につくようなところに入れない。●バッグは車道側と反対の方に持つ。●携帯電話を使用しながら歩かない。●時々振り返るなど後方にも気を配りましょう。

配信者：南警察署
お問い合わせ・情報提供先
092-542-0110
"
"発生","小倉北区下富野４丁目１１番","わいせつ事案","１月６日午前４時ころ","2020-01-06 09:54:01","　１月６日午前４時ころ、小倉北区下富野４丁目１１番の道路上で通行中の女性に見知らぬ男が下半身を見せ、女性の身体を触る事件が発生しました。男は年齢３０から４０歳くらい、身長１７５センチくらい、黒色ジャンバー、白色長ズボンを着用しています。●時々振り返って警戒していることをアピールする。●危険を感じたら大声を出す。●防犯アプリ「みまもっち」をインストールして活用するなどしましょう。

配信者：小倉北警察署
お問い合わせ・情報提供先
093-583-0110
"
"発生","早良区城西２丁目２番","ひったくり","１月６日午後３時ころ","2020-01-06 18:33:01","　１月６日午後３時ころ、早良区城西２丁目２番の道路上で、男性がバッグをひったくられる事件が発生しました。犯人は男１名で、自転車に乗車しています。被害に遭わないためにも、●バッグは車道側と反対の方に持つ。●携帯電話を使用しながら歩かない。●時々振り返るなど後方にも気を配りましょう。

配信者：早良警察署
お問い合わせ・情報提供先
092-847-0110
"
"発生","岡垣町海老津駅前３番路上","声かけ事案"," １月６日午後７時５０分ころ","2020-01-07 09:59:01"," １月６日午後７時５０分ころ、岡垣町海老津駅前３番付近路上で、帰宅中の女子高校生が、男から「雨が降りよるから、タクシーで帰らんね。」「あれやったら、車で家まで送るよ。」と声をかけられる事案が発生しました。男の特徴は、年齢５０歳代くらい、身長１７０センチくらい、中肉、黒色ジャンパー、黒色ジーパン着用です。●身の危険を感じたら大声を出す●防犯ブザーを携帯する●不審者を見かけたら直ぐに１１０番通報するなどしましょう。

配信者：折尾警察署
お問い合わせ・情報提供先
093-691-0110
"
"発生","小倉南区大字出手浦","不審者事案","１月３日午後０時ころ","2020-01-07 10:25:01","１月３日午後０時ころ、小倉南区大字出手浦付近で、徒歩通行中の女性が、見知らぬ男から写真を撮られる事案が発生しました。男は、年齢５０～６０歳位、緑色上衣を着用し、使い捨てカメラを所持しており、白色バンタイプの車両に乗車していました。●身の危険を感じたら大声を出し、すぐに１１０番通報しましょう。●防犯ブザーを活用するなどしましょう。

配信者：小倉南警察署
お問い合わせ・情報提供先
093-923-0110
"
"発生","久留米市中央町及びそ","不審電話","１月７日","2020-01-07 15:57:01","１月７日、久留米市中央町及びその周辺において、久留米市役所の職員を名乗る男から、「後期高齢者保険の還付金がある」などと告げて通帳の口座番号等を聞き出す不審電話が多発しています。●市役所職員が電話で口座番号を聞き出すことは絶対にありません。●ATMに誘導することもありません。●電話でお金はすべて詐欺！●少しでも「変だな」と思ったら、一度電話を切って家族や警察に相談しましょう。

配信者：久留米警察署
お問い合わせ・情報提供先
0942-38-0110
"
"発生","苅田町富久町１丁目","苅田町富久町において声掛け事案","１月７日午後０時ころ","2020-01-07 16:54:01","１月７日午後０時ころ、苅田町富久町１丁目において小学生女児が徒歩通行中、前方から歩いてきた男から「タッチして」と声を掛けられる事案が発生しました。男は、６０歳代、身長１７５ｃｍ位、中肉、白髪交じりの短髪、水色ジャンパーを着用していました。●不審者を見たら大声を出す●すぐに逃げる●防犯ブザー、福岡県警察防犯アプリ「みまもっち」を活用する等しましょう

配信者：行橋警察署
お問い合わせ・情報提供先
0930-24-5110
"
"発生","小倉南区内","不審電話","１月７日午前１０時３０分ころ","2020-01-08 09:59:02","１月７日午前１０時３０分ころ、小倉南区内で、三井住友海上を名乗る人物から「屋根と樋の修理をしたい」、「修理の話がしたいので、家に行ってもいいか」等という不審な電話がかかってきています。●在宅中でも留守番設定にしておきましょう。●電話で「お金」の話が出たら全て詐欺です。●不審な電話があった時には、自分で判断せず、家族や警察等に相談して下さい。

配信者：小倉南警察署
お問い合わせ・情報提供先
093-923-0110
"
"検挙","お知らせしました、大牟田市小川町","痴漢事件","令和元年７月２５日","2020-01-08 15:15:02","　令和元年７月２５日にお知らせしました、大牟田市小川町で発生した痴漢事件については、２０歳の男を検挙しました。情報の提供や地域のパトロールなど、ご協力ありがとうございました。

配信者：大牟田警察署
お問い合わせ・情報提供先
0944-43-0110
"
"発生","築上町大字湊","公然わいせつ","１月８日午後３時３０分ころ","2020-01-08 18:01:01","　１月８日午後３時３０分ころ、築上町大字湊で、車両に乗車していた男が通行中の女性に、下半身を見せるという事件が発生しました。犯人は、年齢３０～４０歳代の男、色不明のＴシャツ、ベージュ色の作業用ズボンを着用し、白色軽四輪自動車で逃走しています。●不審者を見たら大声を出す。●防犯ブザーを活用するなど、お子さんと話し合っておきましょう。

配信者：豊前警察署
お問い合わせ・情報提供先
0979-82-0110
"
"発生","南区塩原２丁目５番","つきまとい事案","１月８日午後２時３０分ころ","2020-01-08 18:12:02","　１月８日午後２時３０分ころ、南区塩原２丁目５番付近において、徒歩通行中の女性が見知らぬ男からつきまとわれる事案が発生しました。男は、年齢３０～４０歳代位、黒っぽい服装をし、濃いオレンジ色で車輪の小さい自転車を使用していました。●危険を感じたら大声を出す。●防犯ブザーを活用するなどしましょう。

配信者：南警察署
お問い合わせ・情報提供先
092-542-0110
"
"発生","小倉北区真鶴","声かけ事案","１月８日午後４時ころ","2020-01-09 08:34:02","１月８日午後４時ころ、小倉北区真鶴の公園において、遊んでいた子どもたちが、見知らぬ男から「お菓子をあげる」「一緒にボール遊びをしよう」などと声をかけられる事案が発生しました。男は年齢４０～５０歳代くらい、身長１７０センチくらい、茶色ニット帽、オレンジ色か黄色のジャンパーを着用しています。●危険を感じたら大声を出す。●不審者を見たら警察へ通報する。●防犯ブザーを活用するなど、お子さんと話し合っておきましょう。

配信者：小倉北警察署
お問い合わせ・情報提供先
093-583-0110
"
"発生","春日市紅葉ヶ丘西","公然わいせつ事案","１月７日午後５時３０分及び１月８日午後３時３０分","2020-01-09 09:21:01","　１月７日午後５時３０分及び１月８日午後３時３０分、春日市紅葉ヶ丘西付近で、男が徒歩通行中の女性に、下半身を見せる事案が２件発生しました。犯人はいずれも年齢７０歳位、身長１６０位、やせ型、水色チェック柄トランクスを着用しています。●不審者を見たら大声を出す。●防犯ブザーを活用するなどしましょう。

配信者：春日警察署
お問い合わせ・情報提供先
092-580-0110
"
